Nomor,Kecamatan Subdistrict,Ibukota Kecamatan Subdistrict,Persentase terhadap Luas Kabupaten
,(2),(3),(4)
1,Cipatujah,Cipatujah,"9,12"
2,Karangnunggal,Karangnunggal,"5,04"
3,Cikalong,Cikalong,"5,16"
4,Pancatengah,Cibongas,"7,46"
5,Cikatomas,Pakemitan,"4,9"
6,Cibalong,Cibalong,"2,16"
7,Parungponteng,Parungponteng,"1,75"
8,Bantarkalong,Hegarwangi,"2,21"
9,Bojongasih,Bojongasih,"1,43"
10,Culamega,Cintabodas,"2,52"
11,Bojonggambir,Mangkonjaya,"6,26"
12,Sodonghilir,Sodonghilir,"3,44"
13,Taraju,Taraju,"2,06"
14,Salawu,Salawu,"1,87"
15,Puspahiang,Puspahiang,"1,29"
16,Tanjungjaya,Tanjungjaya,"1,36"
17,Sukaraja,Sukapura,"1,59"
18,Salopa,Mandalahayu,"4,5"
19,Jatiwaras,Jatiwaras,"2,71"
20,Cineam,Cijulang,"2,91"
21,Karangjaya,Karangjaya,"1,77"
22,Manonjaya,Manonjaya,"1,46"
23,Gunungtanjung,Gunungtanjung,"1,24"
24,Singaparna,Singasari,"0,92"
25,Sukarame,Sukarame,"1,1"
26,Mangunreja,Mangunreja,"0,74"
27,Cigalontang,Jayapura,"4,43"
28,Leuwisari,Arjasari,"1,97"
29,Sariwangi,Jayaratu,"1,84"
30,Padakembang,Cisaruni,"1,39"
31,Sukaratu,Sukaratu,"2,11"
32,Cisayong,Cisayong,"2,2"
33,Sukahening,Calincing,"1,05"
34,Rajapolah,Rajapolah,"0,79"
35,Jamanis,Sindangraja,"0,79"
36,Ciawi,Ciawi,"1,67"
37,Kadipaten,Buniasih,"1,69"
38,Pagerageung,Pagerageung,"2,47"
39,Sukaresik,Sukaratu,"0,66"
,Kabupaten Tasikmalaya,Singaparna,-
