Nomor,Jenis Pendapatan,2024,2025*
,(1),(4),(5)
1,Pendapatan Daerah/Regional Revenue,"566.540.362.910,80","3.431.340.996.046,44"
1,1 Pendapatan Asli Daerah (PAD)/Local Own-source Revenue,"358.951.018.708,80","436.070.469.702,44"
1,1.1 Pajak Daerah/Regional Tax,"104.138.533.398,00","167.182.537.897,00"
1,1.2 Retribusi Daerah/Regional Retribution,"217.094.989.467,97","29.386.118.187,93"
1,1.3 Hasil Perusahaan Milik Daerah dan Pengelolaan Kekayaan Daerah yang Dipisahkan/Regional-Owned Company Revenue and Separated Management of Regional Wealth,"25.815.979.302,00","21.772.982.444,00"
1,1.4 Lain-lain PAD yang Sah/Other Regional Revenue,"11.901.516.540,83","217.728.831.173,51"
1,2 Pendapatan Transfer/ Transfer Revenue,"3.202.211.167.547,00","2.970.017.931.511,00"
1,2.1 Pendapatan Transfer Pemerintah Pusat/ Central Government Transfer Revenue,"2.894.758.114.030,00","2.749.641.851.506,00"
1,2.1.1 Dana Perimbangan/ Balancing Fund,"2.472.812.378.030,00","2.374.016.305.076,00"
1,2.1.2 Dana Insentif Daerah (DID)/ Regional Incentive Fund,"0,00","0,00"
1,2.1.3 Dana Desa/ Village Fund,"406.854.234.000,00","368.495.051.430,00"
1,2.1.4 Insentif Fiskal,"15.091.502.000,00","7.130.495.000,00"
1,2.2 Pendapatan Transfer Antar Daerah/Inter-Regional Transfer Revenue,"307.453.053.517,00","220.376.080.005,00"
1,2.2.1 Pendapatan Bagi Hasil/Profit Sharing Revenue,"200.428.161.317,00","163.189.606.805,00"
1,2.2.2 Bantuan Keuangan/Financial Assistance,"107.024.892.200,00","57.186.473.200,00"
1,3 Lain-lain Pendapatan Daerah yang Sah/Other Legitimate Regional Revenue,"5.378.176.655,00","25.252.594.833,00"
1,3.1 Pendapatan Hibah - LRA,"5.378.176.655,00","24.803.980.846,00"
1,3.2 Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan/ Other Revenue in Accordance with The Provisions of Laws and Regulations,"0,00","448.613.987,00"
2,Belanja Daerah/Regional Expenditure,"3.741.552.000.360,49","3.348.266.750.198,42"
2,1 Belanja Operasi/Operation Expenditure,"2.630.302.009.078,49","2.497.095.422.653,42"
2,1.1 Belanja Pegawai/ Personnel Expenditure,"1.410.012.558.941,00","1.474.798.277.694,00"
2,1.2 Belanja Barang dan Jasa/Goods and Services Expenditure,"971.819.413.065,49","876.849.568.986,42"
2,1.3 Belanja Hibah/Grant Expenditure,"242.165.537.072,00","140.542.775.973,00"
2,1.4 Belanja Bantuan Sosial/Social Assistance Expenditure,"6.304.500.000,00","4.904.800.000,00"
2,2 Belanja Modal/ Capital Expenditure,"421.159.805.198,00","197.967.119.593,00"
2,2.1 Belanja Modal Tanah/Land Capital Expenditure,"2.802.517.200,00","811.788.236,00"
2,2.2 Belanja Modal Peralatan dan Mesin/Equipment and Machines Capital Expenditure,"126.631.707.661,00","80.747.897.307,00"
2,2.3 Belanja Modal Gedung dan Bangunan/Building and Structure Capital Expiditure,"91.942.929.583,00","22.276.586.540,00"
2,"2.4 Belanja Modal Jalan, Irigasi dan Jaringan/ Roads, Irrigation, and Net Capital Expenditure","164.385.225.451,00","65.742.668.155,00"
2,2.5 Belanja Modal Aset Tetap Lainnya/Other Fixed Assets Capital Expenditure,"35.397.425.303,00","28.388.179.355,00"
2,3 Belanja Tak Terduga/Unpredictabel Expenditure,"26.020.100.684,00","27.740.237.775,00"
2,3.1 Belanja Tak Terduga/Unpredictabel Expenditure,"26.020.100.684,00","27.740.237.775,00"
2,4 Belanja Transfer/Transfer Expenditure,"664.070.085.400,00","625.463.970.177,00"
2,4.1 Belanja Bagi Hasil/Profit Shsring Expenditure,"11.919.051.400,00","11.105.600.000,00"
2,4.2 Belanja Bantuan Keuangan/ Assistance Finance Expenditure,"652.151.034.000,00","614.358.370.177,00"
,Surplus/ (Defisit),"(175.011.637.449,69)","83.074.245.848,02"
3,Pembiayaan/Financing,,
3,1 Penerimaan Pembiayaan/Financing Revenue,"269.375.603.676,27","163.964.888.791,58"
3,1.1 Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya/ Remaining Balance of Previous Year Budget,"132.951.974.135,27","37.940.356.685,58"
3,2 Pengeluaran Pembiayaan/ Financing Expenditure,"56.423.629.541,00","129.803.047.353,00"
3,2.1 Pembiayaan Cicilan Pokok/ Principal Installments Financing,"56.423.629.541,00","0,00"
3,2.2 Pemberian Pinjaman Daerah/Granting Regional Loans,"0,00","0,00"
3,2.3 Pembentukan Dana Cadangan/Reserve Fund Establishment,"0,00","0,00"
3,2.4 Penyertaan Modal Daerah/ Regional Capital Investments,"0,00","0,00"
,Pembiayaan Netto/Net Financing,"212.951.974.135,27","34.161.841.438,58"
4,Sisa Lebih Pembayaran Anggaran (SILPA)/ Unspent Funds at end of Fiscal Year,"37.940.336.685,58","117.236.087.286,60"
