Kecamatan,Anggrek Pot/Orchid - 2024,Anggrek Pot/Orchid - 2025,Kolom_Kosong,Anggrek Potong/Orchid - 2024,Anggrek Potong/Orchid - 2025
satuan,Tangkai,Tangkai,Tangkai,Tangkai,Tangkai
tahun,2024,2025,2026,2024,2025
(1),(2),(3),,(4),(5)
Karangjaya,0,0,,0,0
Manonjaya,0,0,,0,0
Gunungtanjung,0,0,,0,0
Singaparna,0,0,,0,0
Sukarame,0,0,,0,0
Mangunreja,0,0,,0,0
Cigalontang,0,0,,0,0
Leuwisari,0,0,,0,0
Sariwangi,0,0,,0,0
Padakembang,0,0,,0,0
Sukaratu,0,0,,0,0
Cisayong,0,0,,0,0
Sukahening,0,0,,0,0
Rajapolah,0,0,,0,0
Jamanis,0,0,,0,0
Ciawi,0,0,,0,0
Kadipaten,0,0,,0,0
Pagerageung,0,0,,0,0
Sukaresik,0,0,,0,0
Kabupaten Tasikmalaya,0,0,,0,0
