Jenis Tanaman,2022,2023,2024,2025
satuan,Kuintal,Kuintal,Kuintal,Kuintal
tahun,2022,2023,2024,2025
(1),(2),(3),(4),(5)
Sayuran/Vegetables,,,,
Bawang Daun/Scallion,"20.222,90","16.008,31","20.736,12","20.627,33"
Bawang Merah/Shallots,"1.223,05","472,00","298,55","321,30"
Bawang Putih/Garlic,0,0,0,0
Bayam/Spinach,"6.550,48","7.775,15","8.291,60","9.966,40"
Buncis/String Bean,"25.348,60","19.193,71","18.554,70","19.463,35"
Cabai Besar/TW/Teropong/Chili/Big Chili,"70.540,06","63.754,10","60.884,50","56.914,90"
Cabai Keriting/Curly Chili,"18.506,20","17.348,10","19.860,15","22.979,60"
Cabai Rawit/Chili/Cayenne Pepper,"24.373,11","27.677,01","31.474,71","35.948,68"
Jamur Tiram/Mushrooms,"47.855,06","3.760,66","3.165,78","1.936,61"
Jamur Merang/Mushrooms,0,0,0,0
Jamur Lainnya/Mushrooms,0,0,0,0
Kacang Merah/Red Beans,"22.766,02","23.371,86","21.099,10","22.125,10"
Kacang Panjang/Long Beans,"12.995,95","13.917,56","14.890,06","15.384,21"
Kangkung,"2.884,00","2.552,50","4.296,00","4.078,50"
Kembang Kol/Cauliflower,0,0,0,0
Kentang/Potato,0,0,0,0
Labu Siam/Chayote,"14.266,00","8.756,50","8.933,12","3.580,00"
Petsai/Chinese Cabbage/Mustard Green,"11.716,20","15.165,98","14.479,70","18.454,60"
Terung/Eggplant,"16.654,91","15.846,15","14.603,00","16.426,56"
Tomat/Tomato,"27.596,06","24.495,76","25.593,90","25.945,00"
Wortel/Carrot,"689,00","936,00","369,00",0
Buah–buahan/Fruits,,,,
Melon,"350,00","125,00","908,45","319,40"
Semangka/Watermelon,"1.413,00","1.184,00","2.918,00","2.618,50"
