Kecamatan,Karet/Rubber - 2024,Karet/Rubber - 2025,Kolom_Kosong,Kopi/Coffee - 2024,Kopi/Coffee - 2025
satuan,ha,ha,ha,ha,ha
tahun,2024,2025,2026,2024,2025
(1),(6),(7),,(8),(9)
Cipatujah,"47,85","229,19",,0,0
Karangnunggal,"11,75","175,30",,"18,60","113,00"
Cikalong,0,0,,"9,17","17,00"
Pancatengah,"6,75","88,35",,"10,12","15,00"
Cikatomas,"1,34","78,48",,"9,35",24
Cibalong,0,0,,"389,22","580,00"
Parungponteng,0,0,,"62,62","95,00"
Bantarkalong,"5,22","5,3",,"28,17","73,00"
Bojongasih,"5,35","52,41",,"33,74","62,00"
Culamega,"9,09","204,75",,"0,75","45,00"
Bojonggambir,"2,12","182,32",,"45,81","87,75"
Sodonghilir,"3,50","30,91",,"39,73","190,00"
Taraju,0,0,,"31,96","177,63"
Salawu,0,0,,"65,63","186,30"
Puspahiang,0,0,,"68,26","84,00"
Tanjungjaya,0,0,,"4,03","5,30"
Sukaraja,"1,63","36,93",,"9,38","30,00"
Salopa,"39,99","221,98",,"92,51","119,00"
Jatiwaras,"10,79","256,62",,"8,18","16,60"
Cineam,"1,24","14,00",,"106,73","269,64"
Karangjaya,"68,79","153,55",,"20,07","23,00"
Manonjaya,"1,55","15,96",,"0,51","2,54"
Gunungtanjung,"1,92","43,70",,"11,27","63,51"
Singaparna,0,0,,0,0
Sukarame,0,0,,0,0
Mangunreja,0,0,,"13,22","24,50"
Cigalontang,0,0,,"63,39","289,81"
Leuwisari,0,0,,"32,58","58,00"
Sariwangi,0,0,,"2,62","87,35"
Padakembang,0,0,,"7,36","52,50"
Sukaratu,0,0,,0,0
Cisayong,0,0,,"13,41","36,00"
Sukahening,0,0,,"13,19","27,00"
Rajapolah,0,0,,0,0
Jamanis,0,0,,"1,00","1,00"
Ciawi,0,0,,"0,21","10,00"
Kadipaten,0,0,,"92,37","212,78"
Pagerageung,0,0,,"13,72","252,36"
Sukaresik,0,0,,0,0
Kabupaten Tasikmalaya,"218,88","1.789,75",,"1.318,88","3.330,57"
