Kecamatan,Kelapa Sawit/Oil Palm - 2024,Kelapa Sawit/Oil Palm - 2025,Kolom_Kosong,Kelapa/Coconut - 2024,Kelapa/Coconut - 2025
satuan,Ton,Ton,Ton,Ton,Ton
tahun,2024,2025,2026,2024,2025
(1),(2),(3),,(4),(5)
Cipatujah,0,0,,"2.691,10","2.732,81"
Karangnunggal,0,0,,"2.517,61","2.556,63"
Cikalong,0,0,,"9.635,75","9.785,10"
Pancatengah,"67,14","65,00",,"2.324,18","2.360,20"
Cikatomas,0,0,,"1.609,75","1.634,71"
Cibalong,0,0,,"1.699,14","1.725,47"
Parungponteng,0,0,,"1.137,76","1.155,40"
Bantarkalong,0,0,,"734,82","746,21"
Bojongasih,0,0,,"294,79","299,36"
Culamega,0,0,,"181,56","184,37"
Bojonggambir,0,0,,"65,06","66,07"
Sodonghilir,0,0,,"78,57","79,79"
Taraju,0,0,,"132,41","134,46"
Salawu,0,0,,"1,65","1,67"
Puspahiang,0,0,,"116,87","118,68"
Tanjungjaya,0,0,,"247,45","251,29"
Sukaraja,0,0,,"372,53","378,30"
Salopa,0,0,,"550,76","559,30"
Jatiwaras,0,0,,"34,14","34,67"
Cineam,0,0,,"363,94","369,58"
Karangjaya,"0,67",0,,"142,95","145,16"
Manonjaya,0,0,,"310,39","315,20"
Gunungtanjung,0,0,,"68,34","69,40"
Singaparna,0,0,,"21,10","21,42"
Sukarame,0,0,,"25,71","26,11"
Mangunreja,0,0,,"38,90","39,51"
Cigalontang,0,0,,0,0
Leuwisari,0,0,,"115,89","117,69"
Sariwangi,0,0,,"23,83","24,20"
Padakembang,0,0,,"72,87","74,00"
Sukaratu,0,0,,"70,01","71,10"
Cisayong,0,0,,"483,85","491,35"
Sukahening,0,0,,"12,32","12,51"
Rajapolah,0,0,,"31,14","31,62"
Jamanis,0,0,,"46,20","46,92"
Ciawi,0,0,,"67,93","68,98"
Kadipaten,0,0,,"118,44","120,27"
Pagerageung,0,0,,"496,64","504,34"
Sukaresik,0,0,,"658,90","669,11"
Kabupaten Tasikmalaya,"67,81",65,,"27.595,25","28.022,96"
