Kecamatan,Ayam Kampung Native Chicken - 2024,Ayam Kampung Native Chicken - 2025,Ayam Petelur Layer - 2024,Ayam Petelur Layer - 2025
satuan,-,-,-,-
tahun,2024,2025,2024,2025
(1),(2),(3),(4),(5)
Cipatujah,16.161,16.740,0,0
Karangnunggal,22.443,22.850,13.197,15.900
Cikalong,32.100,31.970,1.411,0
Pancatengah,35.311,36.193,3.735,0
Cikatomas,27.822,27.640,0,23.500
Cibalong,39.013,39.383,32.381,10.300
Parungponteng,20.642,20.233,2.905,0
Bantarkalong,11.259,11.560,9.345,0
Bojongasih,2.469,2.616,1.245,0
Culamega,4.394,4.505,2.283,0
Bojonggambir,26.684,26.973,5.810,3.800
Sodonghilir,12.350,12.775,0,300
Taraju,10.881,10.610,5.395,800
Salawu,13.391,13.424,3.085,0
Puspahiang,17.117,17.216,6.640,0
Tanjungjaya,11.825,11.883,0,4.000
Sukaraja,12.510,12.955,2.739,0
Salopa,4.031,4.116,2.324,1.800
Jatiwaras,14.838,15.319,830,0
Cineam,11.143,11.425,8.965,0
Karangjaya,6.122,6.433,38.595,2.000
Manonjaya,2.510,2.545,49.112,22.230
Gunungtanjung,11.632,11.902,15.355,3.500
Singaparna,32.086,34.156,16.327,26.200
Sukarame,4.212,4.220,1.660,3.500
Mangunreja,7.817,8.232,12.642,2.000
Cigalontang,5.524,5.691,3.320,0
Leuwisari,30.676,31.649,16.766,30.710
Sariwangi,4.689,4.830,1.660,0
Padakembang,7.490,7.642,10.458,53.771
Sukaratu,51.886,52.418,59.376,103.186
Cisayong,27.037,27.241,16.492,16.370
Sukahening,3.488,3.477,830,1.000
Rajapolah,6.488,6.671,42.828,41.040
Jamanis,3.944,4.105,12.450,15.000
Ciawi,30.108,30.579,8.004,34.600
Kadipaten,4.281,4.392,3.553,0
Pagerageung,28.760,29.339,75.078,80.456
Sukaresik,11.361,11.886,6.225,7.500
,626.495,637.794,493.021,503.463
