Produksi Peternakan,2022,2023,2024,2025
satuan,-,-,-,-
tahun,2022,2023,2024,2025
(1),(3),(4),(5),(6)
Daging Ternak,,,,
Sapi Perah,0,0,,
Sapi Potong,"2.730.192,01","2.721.178,01","2.947,80","3.951,09"
Kerbau/Buffalo,"14.135,16","15.174,51","17,32","32,29"
Kuda/Horse,0,0,0,0
Kambing/Goat,"120.674,32","120.012,40","106,89","42,08"
Domba/Sheep,"390.610,22","387.294,44","330,44","285,22"
Daging Unggas,,,,
Ayam Kampung/ Native Chicken,"2.385.149,27","2.487.842,96","643,37","654,97"
Ayam Petelur/Layer Chicken,"1.738.907,34","1.778.171,13","459,13","468,86"
Ayam Pedaging/Broiler Chicken,"40.180.055,02","39.401.321,02","22.016,93","21.541,68"
Itik/Itik Manila/ Duck/ Muscovy Duck,"241.553,03","243.895,37","87,59","88,63"
Telur/Egg,,,,
Ayam Kampung/ Native Chicken,"4.981,46","5.195,94","1.343,70","1.367,94"
Ayam Petelur/Layer Chicken,"21.353,26","21.835,41","5.637,99","5.757,40"
Itik/Itik Manila/ Duck/ Muscovy Duck,"1.944,96","1.963,82","705,25","713,64"
Susu/Milk,,,,
Sapi Perah,"3.918.583,40","3.872.567,90","3.585,14","3.285,50"
