Nomor,Kecamatan,Luas,Jumlah Pulau
satuan,-,Km²,Buah
tahun,-,2025,2025
,(1),(2),(3)
1,Cipatujah,"241,99",0
2,Karangnunggal,"153,26",0
3,Cikalong,"160,88",0
4,Pancatengah,"162,11",0
5,Cikatomas,"142,21",0
6,Cibalong,"61,74",0
7,Parungponteng,"50,50",0
8,Bantarkalong,"64,15",0
9,Bojongasih,"51,86",0
10,Culamega,"86,29",0
11,Bojonggambir,"126,82",0
12,Sodonghilir,"101,53",0
13,Taraju,"62,99",0
14,Salawu,"70,27",0
15,Puspahiang,"57,65",0
16,Tanjungjaya,"39,11",0
17,Sukaraja,"46,48",0
18,Salopa,"105,01",0
19,Jatiwaras,"89,06",0
20,Cineam,"74,13",0
21,Karangjaya,"45,98",0
22,Manonjaya,"43,44",0
23,Gunungtanjung,"47,78",0
24,Singaparna,"20,11",0
25,Sukarame,"16,17",0
26,Mangunreja,"26,72",0
27,Cigalontang,"145,67",0
28,Leuwisari,"31,17",0
29,Sariwangi,"38,55",0
30,Padakembang,"19,55",0
31,Sukaratu,"42,72",0
32,Cisayong,"50,32",0
33,Sukahening,"28,91",0
34,Rajapolah,"16,40",0
35,Jamanis,"15,98",0
36,Ciawi,"44,58",0
37,Kadipaten,"43,05",0
38,Pagerageung,"64,30",0
39,Sukaresik,"17,37",0
,Kabupaten Tasikmalaya,"2.706,82",0
