Tingkat Pendidikan Educational,Laki-laki,Perempuan,Jumlah
satuan,-,-,-
tahun,2025,2025,2025
(1),(2),(3),(4)
Sampai dengan SD,7,2,9
SMP/Sederajat General Vocational Junior High,18,6,24
SMA/Sederajat General,187,50,237
Diploma I/Akta I Diploma I/Akta I,0,1,1
"Diploma I, II/Akta I, II Diploma I, II/Akta I, II",10,7,17
Diploma III/Akta III/Sarjana Muda Diploma III/Akta III/Bachelor,160,507,667
Diploma IV/Akta IV Diploma IV/Akta IV,64,188,252
S1/SarjanaUnder Graduate/Bachelor,2.035,3.242,5.277
S2/Pasca Sarjana Graduate,555,406,961
S3/Doktor/Ph.D Post Graduate,3,2,5
Kabupaten Tasikmalaya,6.078,4.452,14.900
,3039,41,7450
