Kecamatan,Rasio Jenis Kelamin Penduduk
satuan,Jiwa
tahun,2025
(1),(6)
Cipatujah,102
Karangnungggal,102
CIkalong,101
Pancatengah,102
Cikatomas,103
Cibalong,9
Parungponteng,102
Bantarkalong,102
Bojongasih,105
Culamega,103
Bojonggambir,104
Sodonghilir,104
Taraju,101
Salawu,100
Puspahiang,97
Tanjungjaya,102
Sukaraja,105
Salopa,103
Jatiwaras,104
Cineam,97
Karangjaya,103
Manonjaya,101
Gunungtanjung,106
Singaparna,102
Sukarame,105
Mangunreja,100
Cigalontang,104
Leuwisari,102
Sariwangi,107
Padakembang,101
Sukaratu,105
Cisayong,101
Sukahening,97
Rajapolah,103
Jamanis,102
Ciawi,100
Kadipaten,107
Pagerageung,101
Sukaresik,102
Kabupaten Tasikmalaya,3.897
