Kecamatan,Murid/Pupils - Negeri - 2024/2025,Murid/Pupils - Negeri - 2025/2026,Murid/Pupils - Swasta - 2024/2025,Murid/Pupils - Swasta - 2025/2026,Murid/Pupils - Jumlah - 2024/2025,Murid/Pupils - Jumlah - 2025/2026
satuan,Siswa,Siswa,Siswa,Siswa,Siswa,Siswa
tahun,2024/2025,2025/2026,2024/2025,2025/2026,2024/2025,2025/2026
(1),(2),(3),(4),(5),(6),(7)
Cipatujah,0,0,354,332,354,332
Karangnunggal,65,61,376,380,441,441
Cikalong,0,0,390,358,390,358
Pancatengah,0,0,311,312,311,312
Cikatomas,0,0,291,344,291,344
Cibalong,0,0,230,199,230,199
Parungponteng,0,0,72,7,72,7
Bantarkalong,0,0,167,175,167,175
Bojongasih,0,0,97,107,97,107
Culamega,0,0,151,163,151,163
Bojonggambir,0,0,415,385,415,385
Sodonghilir,0,0,190,202,190,202
Taraju,0,0,123,163,123,163
Salawu,0,0,175,196,175,196
Puspahiang,0,0,188,168,188,168
Tanjungjaya,0,0,137,150,137,150
Sukaraja,0,0,351,355,351,355
Salopa,0,0,345,352,345,352
Jatiwaras,0,0,482,484,482,484
Cineam,0,0,374,360,374,360
Karangjaya,0,0,123,121,123,121
Manonjaya,129,105,578,538,707,643
Gunungtanjung,0,0,136,132,136,132
Singaparna,0,0,1.043,999,1.043,999
Sukarame,0,0,265,271,265,271
Mangunreja,0,0,527,556,527,556
Cigalontang,0,0,284,270,284,270
Leuwisari,0,0,409,398,409,398
Sariwangi,0,0,472,495,472,495
Padakembang,0,0,609,616,609,616
Sukaratu,0,0,302,352,302,352
Cisayong,0,0,330,364,330,364
Sukahening,0,0,413,392,413,392
Rajapolah,0,0,651,691,651,691
Jamanis,0,0,139,135,139,135
Ciawi,0,0,416,404,416,404
Kadipaten,0,0,95,140,95,140
Pagerageung,0,0,331,326,331,326
Sukaresik,0,0,113,129,113,129
Tasikmalaya,194,166,12.455,12.521,12.649,12.687
