Kecamatan,Sekolah/Schools - 2024/2025,Sekolah/Schools - 2025/2026,Guru/Teachers - 2024/2025,Guru/Teachers - 2025/2026,Murid/Pupils - 2024/2025,Murid/Pupils - 2025/2026
satuan,Sekolah,Sekolah,Guru,Guru,Siswa,Siswa
tahun,2024/2025,2025/2026,2024/2025,2025/2026,2024/2025,2025/2026
(1),(2),(3),(4),(5),(6),(7)
Cipatujah,13,13,39,39,458,475
Karangnunggal,15,15,43,42,467,465
Cikalong,23,23,49,49,771,755
Pancatengah,28,28,6,6,1,1.041
Cikatomas,18,18,46,46,572,577
Cibalong,29,29,58,59,566,563
Parungponteng,25,25,6,67,644,648
Bantarkalong,15,15,36,36,479,482
Bojongasih,1,1,16,17,235,234
Culamega,5,5,15,15,198,199
Bojonggambir,5,5,10,9,113,113
Sodonghilir,28,28,8,8,818,817
Taraju,12,12,20,20,278,281
Salawu,32,32,70,70,789,788
Puspahiang,14,14,20,19,381,380
Tanjungjaya,13,13,40,40,381,380
Sukaraja,1,1,27,27,358,358
Salopa,27,27,51,52,876,852
Jatiwaras,12,12,35,35,411,409
Cineam,8,8,2,19,212,212
Karangjaya,4,4,10,10,128,129
Manonjaya,12,12,4,4,482,465
Gunungtanjung,2,2,1,1,125,126
Singaparna,20,20,67,68,655,657
Sukarame,18,18,50,51,639,639
Mangunreja,1,1,35,34,380,377
Cigalontang,19,19,52,52,652,653
Leuwisari,16,16,50,50,534,534
Sariwangi,6,6,2,21,167,165
Padakembang,6,6,1,1,193,192
Sukaratu,14,14,40,40,506,520
Cisayong,14,14,41,41,443,443
Sukahening,9,9,26,26,350,341
Rajapolah,9,9,31,31,349,349
Jamanis,9,9,36,35,419,418
Ciawi,15,15,52,51,555,556
Kadipaten,8,8,18,18,246,246
Pagerageung,14,14,43,43,506,503
Sukaresik,17,17,58,56,617,613
Tasikmalaya,537,537,1.214,1.308,16.954,17.955
