Kecamatan,Guru 1/Teachers 1 - Negeri - 2024/2025,Guru 1/Teachers 1 - Negeri - 2025/2026,Guru 1/Teachers 1 - Swasta - 2024/2025,Guru 1/Teachers 1 - Swasta - 2025/2026,Guru 1/Teachers 1 - Jumlah - 2024/2025,Guru 1/Teachers 1 - Jumlah - 2025/2026
satuan,Guru,Guru,Guru,Guru,Guru,Guru
tahun,2024/2025,2025/2026,2024/2025,2025/2026,2024/2025,2025/2026
(1),(2),(3),(4),(5),(6),(7)
Cipatujah,0,0,15,30,15,30
Karangnunggal,0,0,17,20,17,20
Cikalong,51,59,49,52,100,111
Pancatengah,0,0,96,97,96,97
Cikatomas,0,0,63,79,63,79
Cibalong,0,0,17,21,17,21
Parungponteng,42,4,24,27,6,71
Bantarkalong,36,40,30,27,6,67
Bojongasih,0,0,24,24,24,24
Culamega,0,0,8,0,8,0
Bojonggambir,0,0,46,47,46,47
Sodonghilir,0,0,7,80,7,80
Taraju,0,0,0,0,0,0
Salawu,0,0,26,29,26,29
Puspahiang,0,0,0,0,0,0
Tanjungjaya,0,0,39,39,39,39
Sukaraja,0,0,37,36,37,36
Salopa,41,42,79,90,120,132
Jatiwaras,0,0,39,40,39,40
Cineam,0,0,7,7,7,7
Karangjaya,0,0,0,0,0,0
Manonjaya,0,0,31,34,31,34
Gunungtanjung,0,0,0,0,0,0
Singaparna,104,100,31,34,135,134
Mangunreja,92,94,18,29,110,123
Sukarame,0,0,7,6,7,6
Cigalontang,0,0,4,49,4,49
Leuwisari,0,0,9,9,9,9
Padakembang,0,0,49,51,49,51
Sariwangi,0,0,26,28,26,28
Sukaratu,0,0,42,34,42,34
Cisayong,0,0,49,4,49,4
Sukahening,0,0,0,0,0,0
Rajapolah,0,0,34,29,34,29
Jamanis,0,0,52,5,52,5
Ciawi,60,73,0,0,60,73
Kadipaten,0,0,0,0,0,0
Pagerageung,0,0,29,29,29,29
Sukaresik,0,0,19,10,19,10
Tasikmalaya,426,412,1.023,1.096,1.329,1.548
