Kecamatan,Puskesmas1 Rawat Inap - 2024,Puskesmas1 Rawat Inap - 2025,Kolom_Kosong,Puskesmas1 Non Rawat Inap - 2024,Puskesmas1 Non Rawat Inap - 2025
satuan,-,-,-,-,-
tahun,2024,2025,2026,2024,2025
(1),(6),(7),,(8),(9)
Cipatujah,1,1,,0,0
Karangnunggal,1,1,,0,0
Cikalong,1,1,,0,0
Pancatengah,1,1,,0,0
Cikatomas,1,1,,0,0
Cibalong,0,0,,1,1
Parungponteng,0,0,,1,1
Bantarkalong,1,1,,0,0
Bojongasih,0,0,,1,1
Culamega,0,0,,1,1
Bojonggambir,1,1,,0,0
Sodonghilir,1,1,,0,0
Taraju,1,1,,0,0
Salawu,1,1,,0,0
Puspahiang,0,0,,1,1
Tanjungjaya,0,0,,1,1
Sukaraja,1,1,,0,0
Salopa,0,0,,1,1
Jatiwaras,0,0,,1,1
Cineam,1,1,,0,0
Karangjaya,0,0,,1,1
Manonjaya,1,1,,0,0
Gunungtanjung,0,0,,1,1
Tinewati,1,1,,0,0
Singaparna,0,0,,1,1
Sukarame,0,0,,1,1
Mangunreja,1,1,,0,0
Cigalontang,1,1,,0,0
Leuwisari,0,0,,1,1
Sariwangi,0,0,,1,1
Padakembang,0,0,,1,1
Sukaratu,1,1,,0,0
Cisayong,0,0,,1,1
Sukahening,0,0,,1,1
Rajapolah,1,1,,0,0
Jamanis,1,1,,0,0
Ciawi,1,1,,0,0
Kadipaten,0,0,,1,1
Pagerageung,0,0,,1,1
Sukaresik,0,0,,1,1
Tasikmalaya,20,20,,20,20
