Kecamatan,Tanah Longsor/Landslide - 2023,Tanah Longsor/Landslide - 2024,Tanah Longsor/Landslide - 2025
satuan,-,-,-
tahun,2023,2024,2025
(1),(8),(9),(10)
Cipatujah,5,2,2
Karangnunggal,6,6,5
Cikalong,1,–,–
Pancatengah,–,–,–
Cikatomas,5,3,2
Cibalong,8,4,3
Parungponteng,6,1,–
Bantarkalong,1,2,–
Bojongasih,3,2,1
Culamega,4,–,–
Bojonggambir,6,6,5
Sodonghilir,9,8,6
Taraju,4,4,8
Salawu,7,1,12
Puspahiang,4,3,4
Tanjungjaya,4,5,5
Sukaraja,1,4,2
Salopa,2,1,3
Jatiwaras,1,4,7
Cineam,4,–,–
Karangjaya,–,–,2
Manonjaya,10,–,–
Gunungtanjung,1,2,–
Singaparna,6,3,2
Sukarame,1,–,–
Mangunreja,3,5,4
Cigalontang,8,9,13
Leuwisari,1,–,2
Sariwangi,4,–,2
Padakembang,1,1,2
Sukaratu,1,2,1
Cisayong,10,8,7
Sukahening,4,5,6
Rajapolah,3,1,1
Jamanis,1,1,2
Ciawi,1,3,5
Kadipaten,1,3,3
Pagerageung,5,–,3
Sukaresik,–,–,–
Tasikmalaya,142,99,120
